1,0
2,4
3,6
4,6
5,1
6,0
7,0
8,6
9,5
10,6
11,1
12,0
13,0
14,6
15,6
16,1
17,6
18,3
19,4
20,2
21,0
22,1
23,3
24,0
25,5
26,5
27,0
28,5
29,0
30,1
31,4
32,6
33,2
34,1
35,0
36,6
37,0
38,6
39,5
40,3
41,4
42,0
43,5
44,6
45,0
46,0
47,4
48,6
49,0
50,6
51,3
52,6
53,0
54,2
55,1
56,6
57,3
58,6
59,3
60,6
61,6
62,6
63,1
64,6
65,5
66,4
67,4
68,5
69,1
70,6
71,3
72,0
73,5
74,3
75,6
76,6
77,1
78,2
79,1
80,0
81,6
82,0
83,6
84,1
85,0
86,1
87,1
88,0
89,6
90,6
91,0
92,1
93,0
94,1
95,0
96,2
97,1
98,5
99,2
100,6
101,3
102,0
103,4
104,2
105,4
106,4
107,6
108,3
109,0
110,4
111,0
112,0
113,5
114,1
115,0
116,1
117,2
118,4
119,4
120,6
121,0
122,0
123,6
124,3
125,1
126,1
127,1
128,6
129,4
130,5
131,1
132,5
133,6
134,3
135,0
136,6
137,0
138,0
139,4
140,5
141,2
142,6
143,4
144,0
145,6
146,4
147,3
148,5
149,2
150,6
151,4
152,3
153,6
154,0
155,0
156,0
157,1
158,6
159,6
160,6
161,1
162,5
163,0
164,1
165,3
166,1
167,4
168,0
169,4
170,6
171,1
172,6
173,1
174,4
175,5
176,0
177,0
178,6
179,6
180,6
181,4
182,5
183,4
184,6
185,6
186,3
187,4
188,3
189,0
190,0
191,5
192,4
193,5
194,1
195,3
196,6
197,0
198,1
199,4
200,4
201,1
202,6
203,5
204,1
205,6
206,0
207,1
208,0
209,0
210,4
211,6
212,1
213,1
214,5
215,0
216,5
217,5
218,1
219,3
220,3
221,3
222,2
223,4
224,4
225,6
226,6
227,0
228,0
229,4
230,0
231,0
232,2
233,6
234,4
235,6
236,4
237,4
238,1
239,3
240,3
241,6
242,4
243,6
244,5
245,4
246,4
247,3
248,0
249,1
250,0
251,1
252,6
253,1
254,1
255,5
256,0
257,5
258,4
259,0
260,4
261,0
262,6
263,0
264,0
265,2
266,6
267,2
268,6
269,5
270,2
271,0
272,6
273,6
274,5
275,6
276,1
277,5
278,6
279,0
280,6
281,5
282,3
283,5
284,1
285,0
286,6
287,2
288,3
289,1
290,6
291,6
292,6
293,4
294,5
295,0
296,2
297,3
298,3
299,5
300,5
301,1
302,6
303,1
304,0
305,2
306,0
307,4
308,6
309,0
310,5
311,4
312,6
313,0
314,6
315,4
316,6
317,0
318,6
319,6
320,6
321,6
322,6
323,3
